"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-115.07","49.49","FERNIE","1152850","2010-01-01","2010","01","01","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-02","2010","01","02","†","5.0","","-12.0","","-3.5","","21.5","","0.0","","0.0","","0.0","","0.0","","43","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-03","2010","01","03","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-04","2010","01","04","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-05","2010","01","05","†","-4.0","","-6.0","","-5.0","","23.0","","0.0","","0.0","","0.0","","0.0","","49","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-06","2010","01","06","†","-10.0","","-25.0","","-17.5","","35.5","","0.0","","0.0","","0.0","","0.0","","47","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-07","2010","01","07","†","-14.0","","-30.0","","-22.0","","40.0","","0.0","","0.0","","0.0","","0.0","","46","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-08","2010","01","08","†","-12.0","","-26.0","","-19.0","","37.0","","0.0","","0.0","","0.0","","0.0","","45","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-09","2010","01","09","†","-3.0","","-20.0","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","45","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-10","2010","01","10","†","3.0","","-6.0","","-1.5","","19.5","","0.0","","1.0","","0.0","","1.0","","44","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-11","2010","01","11","†","5.0","","1.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","41","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-12","2010","01","12","†","8.0","","0.0","","4.0","","14.0","","0.0","","20.4","","0.0","","20.4","","39","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-13","2010","01","13","†","5.0","","1.0","","3.0","","15.0","","0.0","","9.6","","0.0","","9.6","","33","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-14","2010","01","14","†","5.0","","1.0","","3.0","","15.0","","0.0","","2.4","","0.0","","2.4","","29","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-15","2010","01","15","†","6.0","","0.0","","3.0","","15.0","","0.0","","7.2","","0.0","","7.2","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-16","2010","01","16","†","5.0","","-4.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-17","2010","01","17","†","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-18","2010","01","18","†","4.0","","-1.0","","1.5","","16.5","","0.0","","1.4","","0.0","","1.4","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-19","2010","01","19","†","0.0","","-5.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-20","2010","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-21","2010","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-22","2010","01","22","†","2.5","","-11.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-23","2010","01","23","†","1.0","","-5.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-24","2010","01","24","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-25","2010","01","25","†","-2.0","","-6.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-26","2010","01","26","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-27","2010","01","27","†","-2.0","","-17.0","","-9.5","","27.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-28","2010","01","28","†","0.0","","-11.0","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-29","2010","01","29","†","3.0","","-6.0","","-1.5","","19.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-30","2010","01","30","†","2.5","","-11.0","","-4.3","","22.3","","0.0","","0.0","","0.0","","0.0","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-01-31","2010","01","31","†","0.0","","-6.0","","-3.0","","21.0","","0.0","","0.0","","1.0","","1.0","","26","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-01","2010","02","01","†","4.0","","-7.0","","-1.5","","19.5","","0.0","","0.0","","3.0","","3.0","","25","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-02","2010","02","02","†","3.0","","-3.0","","0.0","","18.0","","0.0","","0.0","","0.0","T","0.0","T","27","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-03","2010","02","03","†","5.0","","0.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","25","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-04","2010","02","04","†","5.0","","-2.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-05","2010","02","05","†","2.5","","-9.0","","-3.3","","21.3","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-06","2010","02","06","†","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-07","2010","02","07","†","4.0","","-3.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-08","2010","02","08","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-09","2010","02","09","†","2.0","","-2.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-10","2010","02","10","†","4.0","","-2.0","","1.0","","17.0","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-11","2010","02","11","†","5.0","","-3.0","","1.0","","17.0","","0.0","","5.0","","0.0","","5.0","","25","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-12","2010","02","12","†","5.0","","-2.0","","1.5","","16.5","","0.0","","6.0","","0.0","","6.0","","24","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-13","2010","02","13","†","8.0","","-1.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-14","2010","02","14","†","8.0","","-3.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","23","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-15","2010","02","15","†","7.0","","0.0","","3.5","","14.5","","0.0","","1.0","","0.0","","1.0","","19","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-16","2010","02","16","†","4.0","","0.0","","2.0","","16.0","","0.0","","2.4","","0.0","","2.4","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-17","2010","02","17","†","4.0","","-1.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-18","2010","02","18","†","5.0","","-3.0","","1.0","","17.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-19","2010","02","19","†","3.0","","-7.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-20","2010","02","20","†","5.0","","-9.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-21","2010","02","21","†","4.0","","-13.0","","-4.5","","22.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-22","2010","02","22","†","6.0","","-12.0","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-23","2010","02","23","†","8.0","","-13.0","","-2.5","","20.5","","0.0","","0.0","","0.0","","0.0","","17","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-24","2010","02","24","†","3.0","","-7.0","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-25","2010","02","25","†","7.0","","-3.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","16","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-26","2010","02","26","†","9.0","","-1.0","","4.0","","14.0","","0.0","","1.2","","0.0","","1.2","","16","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-27","2010","02","27","†","11.0","","-1.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","14","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-02-28","2010","02","28","†","11.0","","-6.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","12","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-01","2010","03","01","†","10.0","","-6.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-02","2010","03","02","†","11.0","","-7.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","11","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-03","2010","03","03","†","10.0","","-5.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","9","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-04","2010","03","04","†","10.0","","-2.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-05","2010","03","05","†","10.5","","-7.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-06","2010","03","06","†","10.5","","-7.0","","1.8","","16.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-07","2010","03","07","†","14.0","","-7.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-08","2010","03","08","†","8.0","","0.0","","4.0","","14.0","","0.0","","0.0","","2.0","","2.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-09","2010","03","09","†","3.0","","-2.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-10","2010","03","10","†","5.0","","-5.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-11","2010","03","11","†","4.0","","-1.0","","1.5","","16.5","","0.0","","7.0","","0.0","","7.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-12","2010","03","12","†","8.0","","0.0","","4.0","","14.0","","0.0","","4.8","","0.0","","4.8","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-13","2010","03","13","†","9.0","","0.5","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-14","2010","03","14","†","8.0","","-7.0","","0.5","","17.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-15","2010","03","15","†","12.0","","-6.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-16","2010","03","16","†","14.0","","-5.0","","4.5","","13.5","","0.0","","6.8","","0.0","","6.8","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-17","2010","03","17","†","9.0","","2.0","","5.5","","12.5","","0.0","","4.0","","0.0","","4.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-18","2010","03","18","†","6.0","","-3.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-19","2010","03","19","†","8.0","","-5.0","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-20","2010","03","20","†","12.0","","-7.0","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-21","2010","03","21","†","11.0","","-1.0","","5.0","","13.0","","0.0","","8.5","","0.0","","8.5","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-22","2010","03","22","†","11.0","","1.0","","6.0","","12.0","","0.0","","2.2","","0.0","","2.2","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-23","2010","03","23","†","11.0","","-4.0","","3.5","","14.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-24","2010","03","24","†","13.0","","-3.0","","5.0","","13.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-25","2010","03","25","†","13.0","","-5.0","","4.0","","14.0","","0.0","","7.5","","0.0","","7.5","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-26","2010","03","26","†","12.0","","2.0","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-27","2010","03","27","†","12.0","","3.0","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-28","2010","03","28","†","11.0","","-4.0","","3.5","","14.5","","0.0","","26.5","","0.0","","26.5","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-29","2010","03","29","†","7.0","","3.0","","5.0","","13.0","","0.0","","24.4","","2.0","","26.4","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-30","2010","03","30","†","5.0","","0.0","","2.5","","15.5","","0.0","","3.0","","0.0","","3.0","","","M","","","",""
"-115.07","49.49","FERNIE","1152850","2010-03-31","2010","03","31","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-01","2010","04","01","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-02","2010","04","02","†","6.0","","0.0","","3.0","","15.0","","0.0","","0.0","","1.0","","1.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-03","2010","04","03","†","1.0","","-1.0","","0.0","","18.0","","0.0","","0.0","","4.0","","4.0","","1","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-04","2010","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-05","2010","04","05","†","11.0","","-7.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-06","2010","04","06","†","8.0","","0.0","","4.0","","14.0","","0.0","","1.8","","0.0","","1.8","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-07","2010","04","07","†","6.5","","0.0","","3.3","","14.7","","0.0","","2.0","","0.0","T","2.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-08","2010","04","08","†","5.0","","0.0","","2.5","","15.5","","0.0","","8.0","","0.0","T","8.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-09","2010","04","09","†","4.0","","-4.0","","0.0","","18.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-10","2010","04","10","†","8.5","","-8.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-11","2010","04","11","†","8.0","","-4.0","","2.0","","16.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"-115.07","49.49","FERNIE","1152850","2010-04-12","2010","04","12","†","6.0","","2.0","","4.0","","14.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
